상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
12072583,오늘통닭,관양점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41173,안양시 동안구,4117356000,관양2동,4117310200,관양동,4117310200114590004,1,대지,1459,4,경기도 안양시 동안구 관양동 1459-4,411732182001,경기도 안양시 동안구 관악대로,386,,4117310200114590004003425,,경기도 안양시 동안구 관악대로 386,431060,13947,,1,,126.96575320312,37.4042643149828
12072706,티바두마리치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,47,경상북도,47900,예천군,4790025000,예천읍,4790025025,예천읍,4790025025102230016,1,대지,223,16,경상북도 예천군 예천읍 남본리 223-16,479004769111,경상북도 예천군 예천읍 맛고을길,39,1,4790025025102230016043208,오빠다방,경상북도 예천군 예천읍 맛고을길 39-1,757803,36828,,1,,128.453114462883,36.6561508705214
12072784,치킨앤톡,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11530,구로구,1153055000,구로4동,1153010200,구로동,1153010200100970000,1,대지,97,,서울특별시 구로구 구로동 97,115304148017,서울특별시 구로구 가마산로26길,5,,1153010200100970000016237,로제리움2차,서울특별시 구로구 가마산로26길 5,152050,08302,,1,,126.890980502825,37.496079587908
12072793,또봉이통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41480,파주시,4148031000,월롱면,4148031023,월롱면,4148031023104140002,1,대지,414,2,경기도 파주시 월롱면 덕은리 414-2,414803206105,경기도 파주시 월롱면 휴암로,193,,4148031023104140002023743,미광전기,경기도 파주시 월롱면 휴암로 193,413811,10844,,1,,126.782024138455,37.8087392535682
12072911,바삭이,대연점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,26,부산광역시,26290,남구,2629053000,대연3동,2629010600,대연동,2629010600101580000,1,대지,158,,부산광역시 남구 대연동 158,262904193154,부산광역시 남구 수영로325번길,61,,2629010600101580000000002,대연롯데캐슬,부산광역시 남구 수영로325번길 61,608020,48433,,,,129.100027834256,35.1409270252288
12072929,미스신두마리치킨,사당점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11590,동작구,1159065100,사당5동,1159010700,사당동,1159010700102490072,1,대지,249,72,서울특별시 동작구 사당동 249-72,115904157235,서울특별시 동작구 사당로16가길,64,,1159010700102490072006291,,서울특별시 동작구 사당로16가길 64,156090,07009,,1,,126.970216996534,37.4840830473391
12073089,빨개통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,47,경상북도,47850,칠곡군,4785025600,석적읍,4785025622,석적읍,4785025622102430003,1,대지,243,3,경상북도 칠곡군 석적읍 중리 243-3,478504766153,경상북도 칠곡군 석적읍 남중리1길,56,,4785025622102430003000001,,경상북도 칠곡군 석적읍 남중리1길 56,718833,39845,,1,,128.412939066252,36.0744194993463
12073164,8800켄터키치킨,전대점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,29,광주광역시,29170,북구,2917058000,신안동,2917010600,신안동,2917010600102130003,1,대지,213,3,광주광역시 북구 신안동 213-3,291703162065,광주광역시 북구 자미로,40,,2917010600102130003031203,,광주광역시 북구 자미로 40,500830,61219,,1,,126.903885610856,35.1694373587403
12073485,땅땅치킨,상모점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,47,경상북도,47190,구미시,4719064500,상모사곡동,4719011600,상모동,4719011600100420005,1,대지,42,5,경상북도 구미시 상모동 42-5,471903308029,경상북도 구미시 상사서로,88,,4719011600100420005043400,,경상북도 구미시 상사서로 88,730120,39335,,1,,128.355600775089,36.0903850755796
12073540,멕시칸치킨,목련점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41135,성남시 분당구,4113564000,야탑3동,4113510700,야탑동,4113510700101620000,1,대지,162,,경기도 성남시 분당구 야탑동 162,411353180051,경기도 성남시 분당구 판교로,645,,4113510700101620000001359,목련마을한일아파트,경기도 성남시 분당구 판교로 645,463942,13512,,1,,127.144434756987,37.4059896633376
